sigma,death-seeds,terminal-rules-seeds,cluster,pc1,pc2,death-mean,death-range,terminal-rules-mean,phenotype-activity-per-cell,entropy-early,entropy-middle,entropy-late,entropy-terminal,top1-terminal,top4-terminal,active-rules-terminal,terminal-rule-flux,class4-early,class4-middle,class4-late,class4-terminal,class4-peak,entropy-delta
40726351,120|120|120,32|34|38,1,-3.37443985,-1.15488071,120.000000,0.00000000,34.6666667,0.355046296,0.646193444,0.625397274,0.631415417,0.595984242,0.127777778,0.322222222,34.6666667,0.438888889,0.0222222222,0.0273611111,0.0504065041,0.0777777778,0.138888889,-0.0147780272
40735162,120|120|120,33|34|37,1,-3.47389062,-0.840386283,120.000000,0.00000000,34.6666667,0.304490741,0.640529071,0.624658742,0.643268338,0.606367488,0.105555556,0.288888889,34.6666667,0.438888889,0.0612500000,0.0381944444,0.0527100271,0.0555555556,0.183333333,0.00273926696
40753621,120|120|120,33|36|32,1,-2.52952931,0.432744637,120.000000,0.00000000,33.6666667,0.322962963,0.606527805,0.562047919,0.577327643,0.580406322,0.161111111,0.366666667,33.6666667,0.316666667,0.0776388889,0.0904166667,0.136720867,0.127777778,0.255555556,-0.0292001614
40756132,120|120|120,28|35|33,1,-2.46447205,1.55582478,120.000000,0.00000000,32.0000000,0.332777778,0.560207808,0.513029169,0.558804875,0.579385020,0.133333333,0.333333333,32.0000000,0.366666667,0.129166667,0.162500000,0.159485095,0.122222222,0.372222222,-0.00140293245
40761235,120|120|120,23|23|20,1,-1.01527837,3.59070624,120.000000,0.00000000,22.0000000,0.373750000,0.553987311,0.473245746,0.503474154,0.495312098,0.177777778,0.466666667,22.0000000,0.227777778,0.171944444,0.283055556,0.246883469,0.216666667,0.450000000,-0.0505131572
41035672,120|120|120,28|23|31,1,-2.05198117,-1.47506884,120.000000,0.00000000,27.3333333,0.244675926,0.623962156,0.587991156,0.569175093,0.551678499,0.127777778,0.383333333,27.3333333,0.350000000,0.0291666667,0.0256944444,0.0315718157,0.0111111111,0.133333333,-0.0547870640
41056732,120|120|120,23|32|33,1,-1.30691756,-0.437835003,120.000000,0.00000000,29.3333333,0.231111111,0.602886226,0.435692281,0.492595337,0.542693209,0.194444444,0.438888889,29.3333333,0.327777778,0.101250000,0.0708333333,0.0178861789,0.0222222222,0.216666667,-0.110290890
41072653,120|120|120,8|15|13,1,1.43623366,3.74401182,120.000000,0.00000000,12.0000000,0.202268519,0.536819116,0.445095898,0.403158406,0.339788391,0.372222222,0.772222222,12.0000000,0.144444444,0.169722222,0.209305556,0.255555556,0.305555556,0.505555556,-0.133660710
41235076,120|120|120,34|37|28,1,-3.18143354,-0.761648472,120.000000,0.00000000,33.0000000,0.371620370,0.638768352,0.613588191,0.622634366,0.591967397,0.105555556,0.316666667,33.0000000,0.394444444,0.0520833333,0.0363888889,0.0513550136,0.0777777778,0.155555556,-0.0161339861
41237560,120|120|120,44|45|44,1,-5.05274732,-1.41418264,120.000000,0.00000000,44.3333333,0.410046296,0.667311989,0.656430648,0.663076771,0.665587722,0.0555555556,0.194444444,44.3333333,0.633333333,0.0313888889,0.0365277778,0.0391598916,0.0444444444,0.105555556,-0.00423521816
41257306,120|120|120,4|4|4,0,3.72036684,6.99348029,120.000000,0.00000000,4.00000000,0.150277778,0.489624747,0.266018041,0.230097080,0.224407059,0.383333333,1.00000000,4.00000000,0.0611111111,0.219722222,0.439305556,0.425067751,0.516666667,0.616666667,-0.259527667
41265730,120|80|60,15|4|4,0,4.56621587,-1.29420894,86.6666667,60.0000000,7.66666667,0.0904629630,0.500953527,0.292396627,0.297582226,0.284180993,0.333333333,0.900000000,7.66666667,0.0944444444,0.0505555556,0.0261111111,0.0406504065,0.0111111111,0.133333333,-0.203371301
41320576,120|120|120,4|4|4,0,3.83027541,4.93828378,120.000000,0.00000000,4.00000000,0.225555556,0.491924735,0.254915327,0.225872217,0.225515729,0.416666667,1.00000000,4.00000000,0.0555555556,0.155416667,0.355694444,0.304878049,0.338888889,0.533333333,-0.266052519
41325670,120|120|120,14|28|17,1,0.287412766,-1.98109533,120.000000,0.00000000,19.6666667,0.224675926,0.547676813,0.446540961,0.438086639,0.438035367,0.305555556,0.588888889,19.6666667,0.283333333,0.00930555556,0.000138888889,0.00189701897,0.00000000,0.0444444444,-0.109590174
41357062,120|120|120,6|11|7,0,3.03740678,2.45001622,120.000000,0.00000000,8.00000000,0.174166667,0.538272064,0.330166204,0.280971988,0.267178458,0.433333333,0.922222222,8.00000000,0.116666667,0.115138889,0.173472222,0.222222222,0.222222222,0.366666667,-0.257300077
41530726,120|120|120,27|18|26,1,-1.71512850,0.617720464,120.000000,0.00000000,23.6666667,0.315092593,0.611338762,0.573276775,0.580514110,0.516742925,0.166666667,0.450000000,23.6666667,0.288888889,0.0950000000,0.0990277778,0.0944444444,0.138888889,0.261111111,-0.0308246521
41563207,120|120|120,8|8|10,0,2.77574452,-0.427107868,120.000000,0.00000000,8.66666667,0.0920833333,0.484463686,0.361943150,0.322976492,0.309981450,0.366666667,0.827777778,8.66666667,0.122222222,0.0458333333,0.0819444444,0.0726287263,0.0611111111,0.177777778,-0.161487194
41607523,120|120|120,27|22|23,1,-1.38762846,3.82976749,120.000000,0.00000000,24.0000000,0.405092593,0.639799875,0.586862024,0.487214218,0.490044509,0.250000000,0.505555556,24.0000000,0.277777778,0.108472222,0.198611111,0.352032520,0.372222222,0.477777778,-0.152585657
41630752,120|120|120,33|40|23,1,-2.41134990,-1.65036400,120.000000,0.00000000,32.0000000,0.163842593,0.617503393,0.540072743,0.567394820,0.578434975,0.111111111,0.338888889,32.0000000,0.433333333,0.0350000000,0.0284722222,0.0252032520,0.0444444444,0.100000000,-0.0501085722
41650372,120|120|120,13|17|17,1,1.05712192,1.27872429,120.000000,0.00000000,15.6666667,0.141851852,0.540163409,0.439650206,0.383864250,0.410720937,0.255555556,0.650000000,15.6666667,0.161111111,0.105555556,0.107361111,0.144308943,0.183333333,0.338888889,-0.156299159
41670523,92|108|69,4|4|4,0,5.18387347,-1.47470087,89.6666667,39.0000000,4.00000000,0.0583796296,0.514639986,0.273003901,0.230027158,0.227111667,0.422222222,1.00000000,4.00000000,0.0888888889,0.0356944444,0.0220833333,0.000677506775,0.00000000,0.138888889,-0.284612828
41702653,120|120|120,22|27|23,1,-1.46523826,0.827619442,120.000000,0.00000000,24.0000000,0.276759259,0.569840674,0.495741780,0.523124858,0.529554686,0.127777778,0.383333333,24.0000000,0.316666667,0.148333333,0.152777778,0.0394308943,0.0333333333,0.333333333,-0.0467158159
